Dates,03-11-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
9 Iron,40,100.0,L1.7,27.0,7699,L9.5,7593,L1272,34.5,134.9,135.7,L14.5,51.2,R5.4,L3.5,0.0,35.8
9 Iron,41,98.3,R0.1,26.5,8050,L0.2,8050,L29,33.2,132.9,133.5,R0.1,50.6,R0.6,R0.0,-2.7,35.8
9 Iron,42,102.2,L5.0,20.6,7096,L2.1,7092,L260,27.5,142.5,145.0,L13.5,45.8,R0.3,L6.3,-2.8,28.2
9 Iron,43,99.6,L1.8,27.4,7212,L11.1,7076,L1389,34.5,135.0,136.0,L16.2,51.3,R4.0,L3.3,0.1,36.2
9 Iron,44,97.0,L0.8,28.0,6519,L3.3,6508,L370,33.8,132.5,133.8,L5.0,51.2,R1.9,L1.4,-1.0,37.3
9 Iron,45,95.1,L2.6,26.4,7915,L2.4,7908,L336,30.8,128.2,129.0,L7.9,49.7,L1.3,L2.8,-1.8,35.4
9 Iron,46,96.9,L1.8,22.6,8181,L2.3,8175,L326,27.3,132.0,133.4,L6.1,46.7,R2.3,L2.8,-2.5,30.6
9 Iron,47,100.8,L3.8,20.2,6475,L10.4,6368,L1173,25.5,141.3,144.8,L19.2,44.2,R2.2,L5.3,-0.8,27.1
9 Iron,48,101.6,L2.5,27.4,8170,L5.4,8134,L771,36.7,136.5,137.0,L12.0,52.1,R1.3,L3.5,-0.6,36.5
9 Iron,49,102.7,L0.4,27.6,7902,R1.3,7900,R180,37.6,138.2,138.7,R0.8,52.4,L0.4,L0.1,-2.2,37.2
,Average,97.6,L1.5,26.9,7629,R1.1,7561,R109,33.0,128.6,131.8,L3.5,49.9,L0.4,L1.6,-0.8,35.8
,Deviation,2.1,2.2,4.4,1191,9.2,1224,973.6,5.5,18.1,7.4,11.0,7.4,2.9,2.8,1.3,5.7
