Dates,03-06-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
7 Iron,40,93.6,L3.7,19.9,5367,R4.5,5350,R423,20.2,125.7,132.2,L3.7,39.7,L4.9,L3.3,-2.0,27.0
7 Iron,41,96.9,L5.6,19.4,4837,L7.8,4792,L654,21.1,133.7,141.1,L18.5,39.5,R0.5,L7.1,-0.2,25.9
7 Iron,42,87.0,L4.7,20.3,3323,L31.4,2835,L1734,14.7,109.5,123.6,L23.3,33.1,R4.4,L6.9,2.2,26.4
7 Iron,43,104.5,L5.9,18.0,5688,L12.2,5560,L1202,23.6,144.7,150.5,L26.1,41.4,R0.2,L7.4,0.2,24.1
7 Iron,44,105.8,L6.3,20.7,5542,L12.2,5418,L1168,28.2,148.1,152.0,L28.4,45.9,L0.7,L7.8,0.0,27.6
7 Iron,45,106.8,L11.2,15.7,4931,L19.4,4652,L1636,20.2,148.4,157.8,L44.9,37.0,L2.7,L13.3,1.2,20.8
7 Iron,46,106.7,L8.0,20.6,3363,L27.4,2985,L1549,25.0,153.6,163.6,L44.8,40.2,R2.1,L10.6,1.2,27.2
7 Iron,47,102.4,L4.3,21.8,5114,R8.4,5059,R748,27.7,143.8,147.9,L1.0,45.9,L6.3,L3.8,-1.5,29.4
7 Iron,48,100.1,L6.9,13.1,4586,L5.3,4567,L421,14.1,133.1,146.6,L18.6,30.4,L3.5,L7.7,-1.4,18.0
7 Iron,49,99.5,L6.2,17.1,4593,L15.9,4418,L1257,18.7,136.5,146.5,L26.6,36.3,R1.0,L7.9,-0.8,23.1
7 Iron,50,105.3,L7.3,18.5,4368,L15.1,4218,L1135,23.6,150.5,158.7,L32.5,40.0,L0.8,L8.9,-1.9,25.3
7 Iron,51,102.2,L11.3,16.1,4401,L22.1,4077,L1657,17.9,139.2,151.1,L42.8,34.6,L0.9,L13.9,-1.3,22.0
7 Iron,52,95.9,L8.9,10.9,3957,L17.0,3785,L1156,9.0,114.3,135.9,L25.1,22.8,L1.7,L10.0,0.0,14.8
7 Iron,53,98.2,L5.5,22.0,4196,L18.6,3976,L1339,24.1,137.6,145.2,L28.1,41.7,R2.3,L7.5,1.2,28.9
7 Iron,54,90.1,L5.8,19.1,3876,L32.9,3252,L2108,14.8,113.7,127.2,L28.1,32.8,R7.4,L9.1,2.1,24.8
7 Iron,55,97.4,L2.4,16.4,5475,R0.7,5475,R71,17.8,130.3,138.7,L4.4,36.3,L2.5,L2.2,-2.3,22.5
7 Iron,56,97.2,L4.4,19.4,4758,L14.7,4601,L1210,20.7,133.4,141.5,L21.7,39.0,R2.1,L6.1,1.8,25.3
